,MMSI,ShipName,IMO,ShipType,Flag
0,215497000,DAYTONA             ,,Unknown,Malta
1,341250001,FLYING SPUR         ,9085455,Cargo Ship,Saint Kitts and Nevis (Federation of)
2,477965400,PURDUE STELLAR      ,9275658,Tanker,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
3,352583000,HERAKLITOS          ,,Unknown,Panama (Republic of)
4,312700000,NEW LEGACY          ,,Unknown,Belize
5,538008915,NISSOS SIKINOS      ,9884033,Tanker,Marshall Islands (Republic of the)
6,271000793,DARDANELLES SEAWAYS,9322437,Cargo Ship,Republic of Türkiye
7,255806158,SIDER RODI          ,,Unknown,Portugal - Madeira
8,538010830,CLEAN IMPERIAL      ,9376854,Tanker,Marshall Islands (Republic of the)
9,373938000,AG VALOR            ,,Unknown,Panama (Republic of)
10,271040948,GALATA SEAWAYS,9422134,Cargo Ship,Republic of Türkiye
11,256263000,PAQIZE,9457206,Cargo Ship,Malta
12,247019600,GRANDE ELLADE       ,,Unknown,Italy
13,636018787,BEAVER              ,,Unknown,Liberia (Republic of)
14,248549000,NEPTUNE ILIAD       ,9440100,Cargo Ship,Malta
15,314647000,SUPER SAKA          ,9456551,Cargo Ship,Barbados
16,636023743,GAS MELODY          ,9410624,Tanker,Liberia (Republic of)
17,241734000,MINERVA ALEXANDRA   ,9892999,Tanker,Greece
18,538008774,HARVEST             ,9297931,Cargo Ship,Marshall Islands (Republic of the)
19,636020512,SIYA                ,9442108,Cargo Ship,Liberia (Republic of)
20,207138000,PEACE               ,,Unknown,Bulgaria (Republic of)
21,538003884,GEM                 ,,Unknown,Marshall Islands (Republic of the)
22,636093205,FEHU                ,9611826,Cargo Ship,Liberia (Republic of)
23,373251000,PROPUS,,Unknown,Panama (Republic of)
24,538072048,BURRASCA,0,Generic Vessel,Marshall Islands (Republic of the)
25,538072052,OSCAR,,Unknown,Marshall Islands (Republic of the)
26,357654000,FACCA               ,9271951,Tanker,Panama (Republic of)
28,374024000,SEALION I           ,9234501,Tanker,Panama (Republic of)
29,352001737,MANTA SALACAK       ,9336660,Tanker,Panama (Republic of)
30,373276000,HATICE ANA          ,,Unknown,Panama (Republic of)
31,314849000,ROUTE               ,9281853,Tanker,Barbados
32,538005294,TWINKLE STAR        ,9363780,Tanker,Marshall Islands (Republic of the)
33,312325000,TREND,9231509,Tanker,Belize
34,538002621,OKYROE              ,9273088,Tanker,Marshall Islands (Republic of the)
35,538010955,ELEGANT VOYAGER     ,9547506,Tanker,Marshall Islands (Republic of the)
36,626262000,GLYFADA             ,9253234,Tanker,Gabonese Republic
37,511101300,BONIFACY            ,9284726,Tanker,Palau (Republic of)
38,636018234,CAESAR              ,9235696,Tanker,Liberia (Republic of)
39,626352000,MYTHOS              ,9314894,Tanker,Gabonese Republic
40,511101307,JUVENIS             ,9260067,Tanker,Palau (Republic of)
41,525121061,SAVIR LION          ,9306639,Tanker,Indonesia (Republic of)
42,538007374,NEW VISION          ,9804459,Tanker,Marshall Islands (Republic of the)
43,538010839,NORTHERNLIGHT       ,9577123,Tanker,Marshall Islands (Republic of the)
44,626259000,LYDIA               ,9334557,Tanker,Gabonese Republic
45,352524000,MANTA DICLE         ,9666675,Tanker,Panama (Republic of)
46,352003274,MARTA 1             ,9323974,Tanker,Panama (Republic of)
47,538010409,YELLOW TRADER       ,929284000,Tanker,Marshall Islands (Republic of the)
48,620999317,MUR                 ,9288875,Tanker,Comoros (Union of the)
49,304803000,SPRITE              ,9252333,Tanker,Antigua and Barbuda
50,352146000,OCEAN WAVE I        ,9356763,Tanker,Panama (Republic of)
51,239892500,ELAFONISOS ,,Unknown,Greece
52,240929000,NYMPHE              ,9438781,Cargo Ship,Greece
53,626311000,ELECTRA             ,9307815,Tanker,Gabonese Republic
54,352002666,ATACAMA             ,9248801,Tanker,Panama (Republic of)
55,636018189,MSC ROSHNEY V       ,9337676,Cargo Ship,Liberia (Republic of)
56,636023630,HARDRADA            ,9344007,Tanker,Liberia (Republic of)
57,354443000,RIWAL,,Unknown,Panama (Republic of)
58,256702000,SEASTAR             ,9373656,Tanker,Malta
59,271043415,SAKARYA             ,9257199,Cargo Ship,Republic of Türkiye
60,511100935,JUPITER I,9599341,Tanker,Palau (Republic of)
61,239292900,PORFYROUSA   ,9145401,Passanger Ship,Greece
62,240101900,MARILENA  ,,Unknown,Greece
63,511100921,HELGA               ,9419151,Tanker,Palau (Republic of)
64,355997000,SKY FEYZ,9116034,Cargo Ship,Panama (Republic of)
65,244790314,MANISA EMY          ,,Unknown,Netherlands (Kingdom of the)
66,229888000,LATIKO              ,9745782,Fishing,Malta
67,352002462,RN ARKHANGELSK,9384435,Tanker,Panama (Republic of)
68,215830000,POL MARIS           ,9457189,Cargo Ship,Malta
69,241584000,SPORADES STAR,,Unknown,Greece
70,305973000,LANGEOOG            ,9506136,Cargo Ship,Antigua and Barbuda
71,353873000,MSC ANS             ,9282261,Cargo Ship,Panama (Republic of)
72,636020194,MAGPIE S,9188922,Cargo Ship,Liberia (Republic of)
73,636016770,ODYSSEUS,9315824,Cargo Ship,Liberia (Republic of)
74,311001082,ITALIDA             ,9522817,Cargo Ship,Bahamas (Commonwealth of the)
75,311005800,ORAWA,9386926,Cargo Ship,Bahamas (Commonwealth of the)
76,613833000,ZEVS                ,9168946,Tanker,Cameroon (Republic of)
77,352001721,POLLUX              ,9243320,Tanker,Panama (Republic of)
78,538010233,AVAX                ,9953420,Tanker,Marshall Islands (Republic of the)
79,636018295,BUTTERFLY           ,9273246,Tanker,Liberia (Republic of)
80,271042759,NEVZAT KALKAVAN,9365867,Cargo Ship,Republic of Türkiye
81,240484800,STAVROS ELENI,,Unknown,Greece
82,626347000,ALBEDO              ,9213313,Tanker,Gabonese Republic
83,271000910,BARON               ,9394210,Cargo Ship,Republic of Türkiye
84,271000601,M/V MEHMET UNLU,9200029,Cargo Ship,Republic of Türkiye
85,305206000,KATHLEEN,9127980,Cargo Ship,Antigua and Barbuda
86,538008484,ANDROS SPIRIT       ,9592537,Cargo Ship,Marshall Islands (Republic of the)
87,237611300,KAVOMALEAS I,,Unknown,Greece
88,319152600,LADY LUCY           ,,Unknown,United Kingdom of Great Britain and Northern Ireland - Cayman Islands
89,352003620,OCEAN THUNDER       ,9416422,Tanker,Panama (Republic of)
90,240633000,AEGEAN HARMONY      ,9338917,Tanker,Greece
91,355213000,GAZ VICTORY         ,9458171,Tanker,Panama (Republic of)
92,538010148,BETTYS LOVE         ,9291406,Cargo Ship,Marshall Islands (Republic of the)
93,271044177,SASKIA A            ,9315927,Cargo Ship,Republic of Türkiye
94,271051982,OYKU A              ,9292462,Cargo Ship,Republic of Türkiye
95,240560000,ARCADIA             ,,Unknown,Greece
96,312510000,LEDRA ENA,7350363,Tug,Belize
97,636020884,AHSOKA              ,,Unknown,Liberia (Republic of)
98,538010209,EASTERLY JUPITER    ,,Unknown,Marshall Islands (Republic of the)
99,372990000,GAZ PROVIDENCE      ,,Unknown,Panama (Republic of)
100,258215000,VIKING SEA,,Unknown,Norway
101,538004181,EQUITY              ,9577628,Cargo Ship,Marshall Islands (Republic of the)
102,538010684,TONAL               ,9576129,Cargo Ship,Marshall Islands (Republic of the)
103,370424000,NACC ANTIGUA        ,9512587,Cargo Ship,Panama (Republic of)
104,352002777,PETRONILLA,9292838,Tanker,Panama (Republic of)
105,636021732,VENICE A            ,9283306,Tanker,Liberia (Republic of)
106,239386000,KEFALONIA,7426045,Passanger Ship,Greece
107,240657000,AEGEAN NOBILITY     ,9345441,Tanker,Greece
108,229922000,DENSA DEFNE         ,9297204,Tanker,Malta
109,377602000,CIVARINA            ,9396440,Cargo Ship,Saint Vincent and the Grenadines
110,255803590,MSC LEANDRA V       ,9313943,Cargo Ship,Portugal - Madeira
111,353401000,GAZ CONCORD         ,9506174,Tanker,Panama (Republic of)
112,271073738,ZEKI UCUNCUOGLU,8592695,Generic Vessel,Republic of Türkiye
113,255854000,ANHOLT              ,9968205,Cargo Ship,Portugal - Madeira
114,636021506,ZIM NEW ZEALAND,9366471,Fishing,Liberia (Republic of)
115,271000662,OLYMPOS SEAWAYS,9242390,Cargo Ship,Republic of Türkiye
116,374552000,YEBA                ,9045728,Cargo Ship,Panama (Republic of)
117,630001013,LADY SPERANZA       ,9200574,Cargo Ship,Guinea-Bissau (Republic of)
118,563097900,HENRIETTE MAERSK    ,9399349,Tanker,Singapore (Republic of)
119,256257000,ALTAY               ,9276315,Tanker,Malta
120,256010000,NEPTUNE KALLOS      ,9442122,Cargo Ship,Malta
121,630001104,TUNA                ,9356751,Tanker,Guinea-Bissau (Republic of)
122,355008000,NAZMI C             ,9577769,Cargo Ship,Panama (Republic of)
123,247087700,IBLEA               ,9244441,Tanker,Italy
124,373028000,GREMIO              ,9699256,Tanker,Panama (Republic of)
125,352002389,PERTAMINAGASAMARYLIS,9895317,Tanker,Panama (Republic of)
126,636018294,NEW FRIENDSHIP,9249180,Tanker,Liberia (Republic of)
127,249301000,ARCHANGEL ONE       ,9474292,Tanker,Malta
128,271046601,TROY SEAWAYS,9816842,Cargo Ship,Republic of Türkiye
129,351656000,METIN DADAYLI,9382827,Cargo Ship,Panama (Republic of)
130,249069000,ARETHUSA            ,9398022,Passanger Ship,Malta
131,314764000,BESTEKAR,9363508,Cargo Ship,Barbados
132,271000792,ASPENDOS SEAWAYS,9322425,Cargo Ship,Republic of Türkiye
133,247104500,DIEGO               ,9279850,Tanker,Italy
135,271049726,SIMAS,9000314,Cargo Ship,Republic of Türkiye
136,538005024,RUTH BORCHARD       ,9212034,Cargo Ship,Marshall Islands (Republic of the)
137,538009544,WHITE PEARL         ,9917957,Tanker,Marshall Islands (Republic of the)
138,538007514,MERRY MARIE         ,9400875,Cargo Ship,Marshall Islands (Republic of the)
