,MMSI,ShipName,IMO,ShipType,Flag
2,477965400,PURDUE STELLAR      ,9275658,Tanker,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
5,538008915,NISSOS SIKINOS      ,9884033,Tanker,Marshall Islands (Republic of the)
8,538010830,CLEAN IMPERIAL      ,9376854,Tanker,Marshall Islands (Republic of the)
16,636023743,GAS MELODY          ,9410624,Tanker,Liberia (Republic of)
17,241734000,MINERVA ALEXANDRA   ,9892999,Tanker,Greece
26,357654000,FACCA               ,9271951,Tanker,Panama (Republic of)
28,374024000,SEALION I           ,9234501,Tanker,Panama (Republic of)
29,352001737,MANTA SALACAK       ,9336660,Tanker,Panama (Republic of)
31,314849000,ROUTE               ,9281853,Tanker,Barbados
32,538005294,TWINKLE STAR        ,9363780,Tanker,Marshall Islands (Republic of the)
33,312325000,TREND,9231509,Tanker,Belize
34,538002621,OKYROE              ,9273088,Tanker,Marshall Islands (Republic of the)
35,538010955,ELEGANT VOYAGER     ,9547506,Tanker,Marshall Islands (Republic of the)
36,626262000,GLYFADA             ,9253234,Tanker,Gabonese Republic
37,511101300,BONIFACY            ,9284726,Tanker,Palau (Republic of)
38,636018234,CAESAR              ,9235696,Tanker,Liberia (Republic of)
39,626352000,MYTHOS              ,9314894,Tanker,Gabonese Republic
40,511101307,JUVENIS             ,9260067,Tanker,Palau (Republic of)
41,525121061,SAVIR LION          ,9306639,Tanker,Indonesia (Republic of)
42,538007374,NEW VISION          ,9804459,Tanker,Marshall Islands (Republic of the)
43,538010839,NORTHERNLIGHT       ,9577123,Tanker,Marshall Islands (Republic of the)
44,626259000,LYDIA               ,9334557,Tanker,Gabonese Republic
45,352524000,MANTA DICLE         ,9666675,Tanker,Panama (Republic of)
46,352003274,MARTA 1             ,9323974,Tanker,Panama (Republic of)
47,538010409,YELLOW TRADER       ,929284000,Tanker,Marshall Islands (Republic of the)
48,620999317,MUR                 ,9288875,Tanker,Comoros (Union of the)
49,304803000,SPRITE              ,9252333,Tanker,Antigua and Barbuda
50,352146000,OCEAN WAVE I        ,9356763,Tanker,Panama (Republic of)
53,626311000,ELECTRA             ,9307815,Tanker,Gabonese Republic
54,352002666,ATACAMA             ,9248801,Tanker,Panama (Republic of)
56,636023630,HARDRADA            ,9344007,Tanker,Liberia (Republic of)
58,256702000,SEASTAR             ,9373656,Tanker,Malta
60,511100935,JUPITER I,9599341,Tanker,Palau (Republic of)
63,511100921,HELGA               ,9419151,Tanker,Palau (Republic of)
67,352002462,RN ARKHANGELSK,9384435,Tanker,Panama (Republic of)
76,613833000,ZEVS                ,9168946,Tanker,Cameroon (Republic of)
77,352001721,POLLUX              ,9243320,Tanker,Panama (Republic of)
78,538010233,AVAX                ,9953420,Tanker,Marshall Islands (Republic of the)
79,636018295,BUTTERFLY           ,9273246,Tanker,Liberia (Republic of)
82,626347000,ALBEDO              ,9213313,Tanker,Gabonese Republic
89,352003620,OCEAN THUNDER       ,9416422,Tanker,Panama (Republic of)
90,240633000,AEGEAN HARMONY      ,9338917,Tanker,Greece
91,355213000,GAZ VICTORY         ,9458171,Tanker,Panama (Republic of)
104,352002777,PETRONILLA,9292838,Tanker,Panama (Republic of)
105,636021732,VENICE A            ,9283306,Tanker,Liberia (Republic of)
107,240657000,AEGEAN NOBILITY     ,9345441,Tanker,Greece
108,229922000,DENSA DEFNE         ,9297204,Tanker,Malta
111,353401000,GAZ CONCORD         ,9506174,Tanker,Panama (Republic of)
118,563097900,HENRIETTE MAERSK    ,9399349,Tanker,Singapore (Republic of)
119,256257000,ALTAY               ,9276315,Tanker,Malta
121,630001104,TUNA                ,9356751,Tanker,Guinea-Bissau (Republic of)
123,247087700,IBLEA               ,9244441,Tanker,Italy
124,373028000,GREMIO              ,9699256,Tanker,Panama (Republic of)
125,352002389,PERTAMINAGASAMARYLIS,9895317,Tanker,Panama (Republic of)
126,636018294,NEW FRIENDSHIP,9249180,Tanker,Liberia (Republic of)
127,249301000,ARCHANGEL ONE       ,9474292,Tanker,Malta
133,247104500,DIEGO               ,9279850,Tanker,Italy
137,538009544,WHITE PEARL         ,9917957,Tanker,Marshall Islands (Republic of the)
142,247276100,ALLEGRA             ,9436707,Tanker,Italy
146,352002699,CASSIOPEIA II       ,9396749,Tanker,Panama (Republic of)
155,636019277,KRITI ROCK          ,9392315,Tanker,Liberia (Republic of)
156,626318000,HORAI               ,9290517,Tanker,Gabonese Republic
160,538008426,CHIP                ,9353101,Tanker,Marshall Islands (Republic of the)
166,511101153,MANTA               ,9424651,Tanker,Palau (Republic of)
173,240732000,AEGEAN VIII,8817576,Tanker,Greece
179,355643000,DAPHNE 1            ,9251456,Tanker,Panama (Republic of)
182,414461000,YUAN DONG HAI       ,9843338,Tanker,China (People's Republic of)
189,477630900,PTI NILE            ,9747338,Tanker,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
190,256550000,AGIOS GERASIMOS     ,9693056,Tanker,Malta
193,574322000,SEA MARINE 1        ,9255830,Tanker,Viet Nam (Socialist Republic of)
195,240942000,KRITI JADE          ,9391311,Tanker,Greece
196,352001852,BARBAROS ULUC VARDAL,9291602,Tanker,Panama (Republic of)
213,511100949,VALENTE             ,9298272,Tanker,Palau (Republic of)
214,241689000,MINERVA KALLISTO    ,9853008,Tanker,Greece
217,636021195,AQUAHONOR           ,9925136,Tanker,Liberia (Republic of)
220,636022736,TATIANA             ,9340128,Tanker,Liberia (Republic of)
221,518998779,CHONGCHON,9294123,Tanker,New Zealand - Cook Islands
222,256101000,ALICE               ,9323792,Tanker,Malta
223,636022825,MILANO              ,9286059,Tanker,Liberia (Republic of)
224,273443330,SANKT PETERBURG,9288980,Tanker,Russian Federation
225,256212000,LUCKY TRADER        ,9952608,Tanker,Malta
226,626353000,MYSTRAS             ,9314882,Tanker,Gabonese Republic
227,626241000,LAGOON              ,9352195,Tanker,Gabonese Republic
231,511100936,SATURN I            ,9655470,Tanker,Palau (Republic of)
236,626295000,OLIVE               ,9318034,Tanker,Gabonese Republic
246,636022735,GRACE FELIX         ,9391402,Tanker,Liberia (Republic of)
262,304768000,CUP                 ,9271327,Tanker,Antigua and Barbuda
264,620999377,MEMPHIS             ,9189146,Tanker,Comoros (Union of the)
266,271043255,T.SUNA              ,9652911,Tanker,Republic of Türkiye
267,304792000,CHILLI,9249130,Tanker,Antigua and Barbuda
281,636021691,KRITI CAPTAIN       ,9335147,Tanker,Liberia (Republic of)
285,538003755,ARAMON              ,9440485,Tanker,Marshall Islands (Republic of the)
286,240458000,MELTEMI             ,9298741,Tanker,Greece
300,636016406,FAIR WONDER         ,9327449,Tanker,Liberia (Republic of)
321,352002382,LUCIA A             ,9228655,Tanker,Panama (Republic of)
323,636022895,GRACE ADALBERHT     ,9396763,Tanker,Liberia (Republic of)
327,511101298,C VIKING            ,9261657,Tanker,Palau (Republic of)
329,626283000,NARGIS              ,9353125,Tanker,Gabonese Republic
330,538005802,MARLIN AMBER        ,9697210,Tanker,Marshall Islands (Republic of the)
334,305014000,BULL                ,9292503,Tanker,Antigua and Barbuda
352,241604000,MINERVA ZENOBIA     ,9787182,Tanker,Greece
363,355238000,GAZ ENERGY          ,9458169,Tanker,Panama (Republic of)
371,636022902,OSAKA               ,9380570,Tanker,Liberia (Republic of)
373,374616000,RIVA                ,9361469,Tanker,Panama (Republic of)
380,311013400,OHIO                ,9417440,Tanker,Bahamas (Commonwealth of the)
